C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Ray Ventura - Comme tout le monde.mp3	Ray Ventura	Comme tout le monde
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Serge Gainsbourg & Jane Birkin - Je t'aime... moi non plus.mp3	Serge Gainsbourg & Jane Birkin	Je t'aime... moi non plus
"C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Tino Rossi - Paris, Voici Paris.mp3"	Tino Rossi	"Paris, Voici Paris"
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\French\Tryo - Printemps arabe.mp3	Tryo	Printemps arabe
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Ben E King - Rose in Spanish Harlem.mp3	Ben E King	Rose in Spanish Harlem
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Big Bopper - Chantilly Lace.mp3	Big Bopper	Chantilly Lace
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Bo Diddley - I'm a Man.mp3	Bo Diddley	I'm a Man
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Buddy Holly - Everyday.mp3	Buddy Holly	Everyday
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Eddie Cochran - C'mon Everybody.mp3	Eddie Cochran	C'mon Everybody
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Everly Brothers - Bye Bye Love.mp3	Everly Brothers	Bye Bye Love
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Fats Domino - Blueberry Hill.mp3	Fats Domino	Blueberry Hill
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Jerry Lee Lewis - Great Balls Of Fire (Original Version).mp3	Jerry Lee Lewis	Great Balls Of Fire (Original Version)
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Little Richard - Long Tall Sally.mp3	Little Richard	Long Tall Sally
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Ray Charles - I'm Moving On.mp3	Ray Charles	I'm Moving On
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\The Beach Boys - Wouldn't It Be Nice.mp3	The Beach Boys	Wouldn't It Be Nice
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\The Coasters - Young Blood.mp3	The Coasters	Young Blood
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\The Drifters - Adorable.mp3	The Drifters	Adorable
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\The Platters - The Great Pretender.mp3	The Platters	The Great Pretender
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Golden Oldies\Wilbert Harrison - Kansas City.mp3	Wilbert Harrison	Kansas City
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Alan Evans Trio - Givin' To You.mp3	Alan Evans Trio	Givin' To You
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Boney James - Powerhouse.mp3	Boney James	Powerhouse
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Chris Connor - The Night We Called It a Day.mp3	Chris Connor	The Night We Called It a Day
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Count Basie - Rambo.mp3	Count Basie	Rambo
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Dakota Station - A Foggy Day.mp3	Dakota Station	A Foggy Day
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Eliane Elias - Blue Room.mp3	Eliane Elias	Blue Room
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Gregory Porter - Bling Bling.mp3	Gregory Porter	Bling Bling
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Heather Masse & Dick Hyman - Lullaby of Birdland.mp3	Heather Masse & Dick Hyman	Lullaby of Birdland
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Lester Young - Almost Like Being In Love.mp3	Lester Young	Almost Like Being In Love
C:\Users\jlanderson\Desktop\Dev\1013 DigE Audio\Jazz\Louis Armstrong - La Vie En Rose (Single Version).mp3	Louis Armstrong	La Vie En Rose (Single Version)
